clinic_name,neighborhood,address,phone,whatsapp,email,website,google_rating,reviews_count,has_online_booking,website_speed_est,notes
FisioSaldanha — Centro de Fisioterapia,Avenidas Novas,"Av. Fontes Pereira de Melo 21, Lisboa",+351 213 540 120,+351 912 300 450,contacto@fisiosaldanha.pt,https://fisiosaldanha.pt,4.7,58,Não,Lento (5.8s),"Localização premium, sem agendamento 24/7"
Clínica de Fisioterapia das Avenidas,Avenidas Novas,"Av. da República 45, Lisboa",+351 217 930 880,+351 934 112 233,geral@fisioterapiaavenidas.pt,https://fisioterapiaavenidas.pt,4.5,41,Não,Muito Lento (6.4s),"Site antigo, perde marcações ao fim de semana"
FisioPraça — Reabilitação & Osteopatia,Avenidas Novas,"Praça de Espanha 12, Lisboa",+351 213 881 200,+351 965 443 221,info@fisiopraca.pt,https://fisiopraca.pt,4.8,92,Não,Sem Mobile (4.9s),"Alta reputação, marcações apenas por chamada"
Instituto de Fisioterapia de Lisboa,Avenidas Novas,"Av. 5 de Outubro 118, Lisboa",+351 217 960 400,+351 918 776 554,recepcao@ifl.pt,https://ifl.pt,4.6,104,Não,Lento (5.1s),"Grande equipa de fisioterapeutas, sem portal digital"
FisioExpo — Clínica de Saúde do Oriente,Parque das Nações,"Alameda dos Oceanos 41, Lisboa",+351 218 950 330,+351 927 889 001,geral@fisioexpo.pt,https://fisioexpo.pt,4.9,134,Não,Lento (4.6s),"Público executivo, elevada procura fora de horário"
Clínica de Reabilitação do Oriente,Parque das Nações,"Av. D. João II 15, Lisboa",+351 218 922 100,+351 913 224 556,contacto@cro.pt,https://cro.pt,4.4,37,Não,Sem HTTPS / Antigo,"Site sem segurança SSL, risco de conversão"
Marina FisioCare,Parque das Nações,"Rua do Bojador 8, Lisboa",+351 218 966 770,+351 932 445 667,info@marinafisiocare.pt,https://marinafisiocare.pt,4.7,76,Não,Lento (6.0s),"Excelente localização, marcações só por telefone"
FisioCampo de Ourique,Campo de Ourique,"Rua Ferreira Borges 88, Lisboa",+351 213 870 550,+351 919 001 223,geral@fisiocampodeourique.pt,https://fisiocampodeourique.pt,4.6,63,Não,Muito Lento (7.2s),Bairro tradicional com alta densidade familiar
Amoreiras Physio Center,Campo de Ourique,"Rua Carlos Alberto da Mota Pinto 17, Lisboa",+351 213 812 400,+351 964 332 110,contacto@amoreirasphysio.pt,https://amoreirasphysio.pt,4.8,115,Não,Lento (5.3s),"Público corporate Amoreiras, forte potencial marcações 24/7"
Chiado Osteopatia & Fisioterapia,Chiado,"Rua Garrett 42, Lisboa",+351 213 420 900,+351 915 667 889,info@chiadofisio.pt,https://chiadofisio.pt,4.9,142,Não,Lento (4.9s),"Clínica premium no centro histórico, público expat e local"
Príncipe Real Health & Physio,Príncipe Real,"Rua Dom Pedro V 65, Lisboa",+351 213 470 220,+351 936 887 990,geral@princiverealfisio.pt,https://princiverealfisio.pt,4.8,98,Não,Antigo (6.1s),Necessita de renovação de imagem e marcação bilingue (PT/EN)
Clínica de Fisioterapia de Alvalade,Alvalade,"Av. Igreja 32, Lisboa",+351 218 470 110,+351 917 223 344,contacto@fisioterapiaalvalade.pt,https://fisioterapiaalvalade.pt,4.5,52,Não,Muito Lento (6.8s),"Zona comercial consolidada, sem sistema digital"
FisioCampo Grande,Alvalade,"Campo Grande 220, Lisboa",+351 217 580 900,+351 962 114 556,geral@fisiocampogrande.pt,https://fisiocampogrande.pt,4.6,48,Não,Lento (5.5s),"Próximo de universidades e escritórios, público jovem/médio"
Telheiras Physio Care,Telheiras,"Rua Professor Francisco Gentil 14, Lisboa",+351 217 590 440,+351 938 990 112,info@telheirasphysio.pt,https://telheirasphysio.pt,4.7,83,Não,Lento (5.2s),"Bairro residencial jovem familiar, muitas marcações fora de horário"
Centro de Medicina Física do Lumiar,Telheiras,"Alameda das Linhas de Torres 190, Lisboa",+351 217 570 330,+351 914 556 778,contacto@cmflumiar.pt,https://cmflumiar.pt,4.3,39,Não,Antigo (7.5s),"Equipa médica experiente, site muito ultrapassado"
FisioRestelo — Centro de Reabilitação,Restelo,"Av. Descobertas 28, Lisboa",+351 213 010 880,+351 961 778 990,geral@fisiorestelo.pt,https://fisiorestelo.pt,4.9,110,Não,Lento (5.0s),"Zona nobre de Lisboa, excelente reputação, marcações lentas"
Belém Physio Clinic,Belém,"Rua Junqueira 140, Lisboa",+351 213 620 440,+351 926 334 556,recepcao@belemphysio.pt,https://belemphysio.pt,4.6,67,Não,Muito Lento (6.3s),Público residencial e desportivo (remo/náutica)
Cascais Physio Performance,Cascais,"Av. Valbom 22, Cascais",+351 214 840 330,+351 918 223 445,info@cascaisphysio.pt,https://cascaisphysio.pt,4.9,156,Não,Lento (4.8s),"Clínica premium em Cascais, elevado poder de compra"
Estoril Saúde & Fisioterapia,Estoril,"Av. Clotilde 5, Estoril",+351 214 680 770,+351 933 112 445,geral@estorilfisio.pt,https://estorilfisio.pt,4.7,84,Não,Antigo (5.9s),Pacientes seniores e residentes estrangeiros (precisa PT/EN)
Oeiras Physio Care,Oeiras,"Av. Dr. Francisco Sá Carneiro 10, Oeiras",+351 214 410 990,+351 965 889 001,contacto@oeirasphysio.pt,https://oeirasphysio.pt,4.8,128,Não,Lento (5.1s),Próximo de parques tecnológicos (Taguspark/Lagoas Park)
TagusFisio Paço de Arcos,Oeiras,"Rua Costa Pinto 45, Paço de Arcos",+351 214 460 220,+351 912 887 665,geral@tagusfisio.pt,https://tagusfisio.pt,4.5,49,Não,Muito Lento (6.7s),"Forte concorrência local, precisa de SEO para se destacar"
Sintra Fisio Reabilitação,Sintra,"Av. Heliodoro Salgado 30, Sintra",+351 219 230 440,+351 937 445 112,info@sintrafisio.pt,https://sintrafisio.pt,4.6,71,Não,Antigo (6.2s),"Centro histórico de Sintra, elevada procura diária"
Amadora Saúde & Fisioterapia,Amadora,"Estrada de Benfica 400, Amadora",+351 214 930 880,+351 919 334 556,geral@amadorafisio.pt,https://amadorafisio.pt,4.4,45,Não,Muito Lento (7.0s),Alto volume de fisioterapia respiratória e motora
Odivelas Physio Center,Odivelas,"Av. Abreu Lopes 50, Odivelas",+351 219 340 770,+351 963 221 889,contacto@odivelasphysio.pt,https://odivelasphysio.pt,4.5,58,Não,Lento (5.7s),Área de expansão urbana com forte população ativa
Almada Fisio Reab,Almada,"Av. D. Nuno Álvares Pereira 42, Almada",+351 212 740 330,+351 915 990 223,info@almadafisio.pt,https://almadafisio.pt,4.7,94,Não,Lento (5.4s),Maior clínica independente no centro de Almada
